,Light,Temp,TimeStamp
0,1020,27,2025-07-28 02:06:42.394402
1,1014,27,2025-07-28 02:06:50.214364
2,1015,27,2025-07-28 02:06:58.034371
3,1017,27,2025-07-28 02:07:05.854250
4,1019,27,2025-07-28 02:07:13.673394
5,1019,27,2025-07-28 02:07:21.493369
6,1019,27,2025-07-28 02:07:29.313288
7,1018,27,2025-07-28 02:07:37.133414
8,1017,27,2025-07-28 02:07:44.953294
9,1018,27,2025-07-28 02:07:52.773265
